OBJECTID,WARDNAME,WardCode,SHAPE_Length,SHAPE_Area
304,COOKSTOWN WEST,N08000916,7921.7917108516,2649082.86739819
305,COOLSHINNY,N08000917,46873.0324559653,63330079.9109951
306,DONAGHMORE,N08000918,61772.0295412484,62728150.1728112
307,DRAPERSTOWN,N08000919,50374.268289973,59241822.6397936
308,FIVEMILETOWN,N08000920,75291.7112711613,148755213.50793
309,GLEBE,N08000921,9710.77629187728,2576796.71016164
310,KILLYMAN,N08000922,33366.765854487,32326989.6868144
311,KILLYMEAL,N08000923,18516.4608827583,9935851.22117741
312,LISSAN,N08000924,63068.2924150491,83742230.8274427
313,LOUGHRY,N08000925,36849.6930878159,28203012.8039707
314,LOWER GLENSHANE,N08000926,55728.6238331958,81911137.5495898
315,MAGHERA,N08000927,10828.240287853,4248188.34556661
316,MOY,N08000928,31952.1643846868,33819127.5820171
317,MOYGASHEL,N08000929,14800.6326605976,5619173.28153044
318,MULLAGHMORE,N08000930,15064.2320065274,8442607.98486349
319,OAKLANDS,N08000931,66250.1394869542,112858783.771748
320,POMEROY,N08000932,53672.7078665867,74984546.7401266
321,STEWARTSTOWN,N08000933,56615.4077470113,66189894.8116934
322,SWATRAGH,N08000934,48229.1045701235,71432798.2279846
323,TAMLAGHT O'CRILLY,N08000935,41884.0357351334,50599938.8005859
324,THE LOUP,N08000936,41484.5130753419,68085012.7751169
325,TOBERMORE,N08000937,48548.3128019001,65020626.1900465
326,TOWN PARKS EAST,N08000938,7517.2364600111,1634443.12445793
327,VALLEY,N08000939,41209.6557521231,53445086.9391601
328,WASHING BAY,N08000940,32228.7832782884,42305290.9831692
329,ABBEY,N08001001,8271.76255893082,3295932.63615286
330,ANNALONG,N08001002,34099.9397677176,45191293.3257967
331,BALLYBOT,N08001003,7641.21717677285,2466372.11848506
332,BALLYDUGAN,N08001004,64404.8036653764,83918554.0624564
333,BALLYNAHINCH,N08001005,9513.74423041904,3627721.1235384
334,BALLYWARD,N08001006,75501.2508233189,121505466.21147
335,BINNIAN,N08001008,45841.1393428443,60800468.9645804
336,BURREN,N08001009,30113.5799250606,23649774.9275383
337,CAMLOUGH,N08001010,42487.9498082149,42186800.3884882
338,CASTLEWELLAN,N08001011,29927.094366964,24830817.1991638
339,CATHEDRAL,N08001012,14656.2281796732,6229122.40087921
340,CROSSGAR and KILLYLEAGH,N08001013,33678.7938637704,22207263.0153136
341,CROSSMAGLEN,N08001014,38950.4757157487,36447047.1895904
342,DAMOLLY,N08001015,6681.02368795576,2083689.41455498
343,DERRYBOY,N08001016,54250.6763455463,76113748.6546986
344,DERRYLECKAGH,N08001017,38117.8386983531,34752573.1621973
345,DONARD,N08001018,16781.7720222296,10284168.496575
346,DRUMALANE,N08001019,6882.48241972867,2362824.34842785
347,DRUMANESS,N08001020,41489.5003197965,36489918.4294586
348,DUNDRUM,N08001021,38823.4971765941,41744131.4662135
349,FATHOM,N08001022,40238.3550288445,40287893.251918
350,FORKHILL,N08001023,44752.8933976742,56662270.7254921
351,HILLTOWN,N08001024,55185.7099026942,84545194.4406842
352,KILKEEL,N08001025,16662.162057746,6074839.67671451
353,KILMORE,N08001026,51128.8822601664,62791453.3997679
354,LECALE,N08001028,64273.3581517376,55129954.5346507
355,LISNACREE,N08001029,62640.69746664,97205979.3650095
356,MAYOBRIDGE,N08001030,51119.82652163,62729750.0326038
357,MULLAGHBANE,N08001031,46879.4381137345,56115080.6335548
358,MURLOUGH,N08001032,22167.6679473129,11056962.7461901
359,NEWTOWNHAMILTON,N08001033,56502.0521313216,94269096.7833595
360,QUOILE,N08001034,31409.1131915581,33154985.5178268
361,ROSTREVOR,N08001035,31751.9850075472,35924378.8955468
362,SAINTFIELD,N08001036,21461.5101288201,15061789.5065888
363,ST. PATRICK'S,N08001037,7115.14165319134,1668840.37204514
364,STRANGFORD,N08001038,56021.7039601137,101552572.119417
365,TOLLYMORE,N08001039,61601.1313198359,109069152.143779
366,WARRENPOINT,N08001040,8336.39901834057,2217358.47900084
367,WHITECROSS,N08001041,44808.0079119492,67041024.2194148
368,BALLYCROCHAN,N08001101,6961.34765531307,2429667.87780629
369,BALLYGOWAN,N08001102,30481.8066098215,26939647.8267275
370,BALLYGRAINEY,N08001103,13339.3328185763,7209297.75818537
371,BALLYHOLME,N08001104,4778.85119892077,1060508.64566278
372,BALLYMAGEE,N08001105,6366.37180287525,1215941.1556423
